Discrepancy_ID,Movement_ID,Item_ID,Warehouse_Code,Discrepancy_Date,Expected_Quantity,Actual_Quantity,Variance_Quantity,Discrepancy_Type,Root_Cause,Resolution_Status
DISC6000000,MOV3000004,ITEM122157,WH_NAG_01,23-07-24,30,27,-3,Wrong Item,Documentation missing,Resolved
DISC6000001,MOV3000012,ITEM125618,WH_BLR_01,07-11-22,10,17,7,Excess,Handling damage,Resolved
DISC6000002,MOV3000022,ITEM132861,WH_NAG_01,09-01-22,6,11,5,Wrong Item,Handling damage,Open
DISC6000003,MOV3000025,ITEM119139,WH_PUN_01,22-10-24,26,29,3,Shortage,Documentation missing,Under Investigation
DISC6000004,MOV3000033,ITEM133453,WH_NAG_01,01-08-21,39,43,4,Count Error,Vendor short supply,Open
DISC6000005,MOV3000037,ITEM119915,WH_PUN_01,13-09-21,11,1,-10,Wrong Item,Documentation missing,Resolved
DISC6000006,MOV3000040,ITEM121558,WH_BLR_01,24-04-24,10,0,-10,Wrong Item,Vendor short supply,Adjusted
DISC6000007,MOV3000044,ITEM113678,WH_BLR_01,07-12-22,9,13,4,Shortage,System posting delay,Adjusted
DISC6000008,MOV3000053,ITEM127451,WH_MUM_01,14-09-23,36,39,3,Excess,Documentation missing,Open
DISC6000009,MOV3000057,ITEM128603,WH_DEL_01,20-12-22,20,20,0,Shortage,Wrong bin placement,Open
DISC6000010,MOV3000059,ITEM119898,WH_MUM_01,14-12-23,13,7,-6,Excess,System posting delay,Under Investigation
DISC6000011,MOV3000073,ITEM112940,WH_BLR_01,17-07-22,29,28,-1,Damage,Manual counting error,Adjusted
DISC6000012,MOV3000081,ITEM107479,WH_NAG_01,15-01-21,18,17,-1,Excess,System posting delay,Adjusted
DISC6000013,MOV3000083,ITEM119005,WH_BLR_01,01-06-21,23,23,0,Excess,Handling damage,Open
DISC6000014,MOV3000093,ITEM118097,WH_MUM_01,21-09-21,24,20,-4,Shortage,Wrong bin placement,Under Investigation
DISC6000015,MOV3000099,ITEM129341,WH_NAG_01,15-12-22,1,0,-1,Excess,System posting delay,Open
DISC6000016,MOV3000104,ITEM101579,WH_CHN_01,09-01-22,30,23,-7,Damage,Documentation missing,Open
