Item_ID,Item_Description,Item_Category,Priority_Level,UOM,Warehouse_Code,Warehouse_City,Active_Flag
ITEM100000,Inventory Item 1,Packaging,Low,Kg,WH_BLR_01,Bangalore,Yes
ITEM100001,Inventory Item 2,Packaging,Medium,Pallet,WH_MUM_01,Mumbai,No
ITEM100002,Inventory Item 3,Finished Goods,High,Nos,WH_PUN_01,Pune,No
ITEM100003,Inventory Item 4,Raw Material,High,Kg,WH_CHN_01,Chennai,Yes
ITEM100004,Inventory Item 5,Consumables,Medium,Nos,WH_DEL_01,Delhi,Yes
ITEM100005,Inventory Item 6,Raw Material,High,Pallet,WH_DEL_01,Delhi,Yes
ITEM100006,Inventory Item 7,Finished Goods,Low,Kg,WH_CHN_01,Chennai,Yes
ITEM100007,Inventory Item 8,Finished Goods,Medium,Kg,WH_CHN_01,Chennai,Yes
ITEM100008,Inventory Item 9,Raw Material,High,Nos,WH_CHN_01,Chennai,No
ITEM100009,Inventory Item 10,Packaging,Low,Box,WH_NAG_01,Nagpur,Yes
ITEM100010,Inventory Item 11,Raw Material,Low,Box,WH_NAG_01,Nagpur,Yes
ITEM100011,Inventory Item 12,Finished Goods,Low,Pallet,WH_NAG_01,Nagpur,Yes
ITEM100012,Inventory Item 13,Spare Parts,Medium,Kg,WH_NAG_01,Nagpur,No
ITEM100013,Inventory Item 14,Finished Goods,Medium,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100014,Inventory Item 15,Consumables,Medium,Kg,WH_BLR_01,Bangalore,Yes
ITEM100015,Inventory Item 16,Raw Material,Medium,Pallet,WH_CHN_01,Chennai,Yes
ITEM100016,Inventory Item 17,Finished Goods,Low,Box,WH_MUM_01,Mumbai,Yes
ITEM100017,Inventory Item 18,Finished Goods,Low,Pallet,WH_BLR_01,Bangalore,No
ITEM100018,Inventory Item 19,Finished Goods,Medium,Pallet,WH_NAG_01,Nagpur,No
ITEM100019,Inventory Item 20,Raw Material,Low,Box,WH_NAG_01,Nagpur,Yes
ITEM100020,Inventory Item 21,Finished Goods,High,Nos,WH_MUM_01,Mumbai,Yes
ITEM100021,Inventory Item 22,Packaging,Medium,Box,WH_PUN_01,Pune,Yes
ITEM100022,Inventory Item 23,Spare Parts,High,Kg,WH_CHN_01,Chennai,No
ITEM100023,Inventory Item 24,Raw Material,Low,Kg,WH_NAG_01,Nagpur,Yes
ITEM100024,Inventory Item 25,Finished Goods,High,Box,WH_MUM_01,Mumbai,Yes
ITEM100025,Inventory Item 26,Finished Goods,Medium,Kg,WH_CHN_01,Chennai,Yes
ITEM100026,Inventory Item 27,Packaging,Medium,Pallet,WH_NAG_01,Nagpur,Yes
ITEM100027,Inventory Item 28,Finished Goods,Medium,Kg,WH_NAG_01,Nagpur,Yes
ITEM100028,Inventory Item 29,Raw Material,High,Box,WH_NAG_01,Nagpur,Yes
ITEM100029,Inventory Item 30,Raw Material,Medium,Box,WH_PUN_01,Pune,Yes
ITEM100030,Inventory Item 31,Raw Material,Medium,Nos,WH_PUN_01,Pune,Yes
ITEM100031,Inventory Item 32,Raw Material,High,Pallet,WH_NAG_01,Nagpur,No
ITEM100032,Inventory Item 33,Packaging,Medium,Nos,WH_DEL_01,Delhi,Yes
ITEM100033,Inventory Item 34,Spare Parts,High,Pallet,WH_NAG_01,Nagpur,No
ITEM100034,Inventory Item 35,Finished Goods,Medium,Pallet,WH_MUM_01,Mumbai,No
ITEM100035,Inventory Item 36,Spare Parts,High,Box,WH_NAG_01,Nagpur,Yes
ITEM100036,Inventory Item 37,Finished Goods,Low,Kg,WH_CHN_01,Chennai,Yes
ITEM100037,Inventory Item 38,Raw Material,Medium,Box,WH_CHN_01,Chennai,Yes
ITEM100038,Inventory Item 39,Consumables,Medium,Pallet,WH_CHN_01,Chennai,Yes
ITEM100039,Inventory Item 40,Finished Goods,Medium,Box,WH_MUM_01,Mumbai,Yes
ITEM100040,Inventory Item 41,Finished Goods,Medium,Kg,WH_CHN_01,Chennai,No
ITEM100041,Inventory Item 42,Raw Material,Medium,Kg,WH_CHN_01,Chennai,Yes
ITEM100042,Inventory Item 43,Consumables,Medium,Nos,WH_DEL_01,Delhi,Yes
