Year_Month,Warehouse_Code,Tasks_Assigned,Tasks_Completed,Avg_Assigned_Qty,Total_Movements,Inward_Movements,Outward_Movements,Total_Quantity_Moved,Mismatch_Count,Discrepancy_Count,Total_Variance,Validations_Done,Validation_Failures,Task_Completion_Rate_%,Mismatch_Rate_%,Validation_Failure_Rate_%
2021-01,WH_BLR_01,319,273,20.605015673981192,437,216,221,8580,47,58,-61,407,86,85.58,10.76,21.13
2021-01,WH_CHN_01,350,294,20.985714285714284,408,193,215,7756,42,52,-41,407,86,84.0,10.29,21.13
2021-01,WH_DEL_01,350,306,20.46857142857143,451,232,219,8565,44,56,-35,407,86,87.43,9.76,21.13
2021-01,WH_MUM_01,354,298,20.629943502824858,410,193,217,8087,34,46,-32,407,86,84.18,8.29,21.13
2021-01,WH_NAG_01,364,308,19.164835164835164,429,213,216,8417,41,53,19,407,86,84.62,9.56,21.13
2021-01,WH_PUN_01,379,329,20.15831134564644,430,195,235,7854,35,50,-53,407,86,86.81,8.14,21.13
2021-02,WH_BLR_01,288,251,20.038194444444443,380,189,191,7458,38,51,-7,400,91,87.15,10.0,22.75
2021-02,WH_CHN_01,306,261,19.99019607843137,369,157,212,7548,38,49,-18,400,91,85.29,10.3,22.75
2021-02,WH_DEL_01,335,282,20.155223880597013,340,177,163,6623,29,41,4,400,91,84.18,8.53,22.75
2021-02,WH_MUM_01,339,282,20.430678466076696,359,168,191,6852,36,46,-47,400,91,83.19,10.03,22.75
2021-02,WH_NAG_01,349,293,19.63323782234957,376,174,202,7630,39,44,17,400,91,83.95,10.37,22.75
2021-02,WH_PUN_01,333,273,20.2012012012012,352,168,184,7014,44,54,-40,400,91,81.98,12.5,22.75
2021-03,WH_BLR_01,367,311,19.86376021798365,432,208,224,8593,40,48,-26,467,99,84.74,9.26,21.2
2021-03,WH_CHN_01,369,320,20.279132791327914,395,180,215,7742,36,46,-32,467,99,86.72,9.11,21.2
2021-03,WH_DEL_01,355,292,19.876056338028167,395,186,209,7483,41,53,30,467,99,82.25,10.38,21.2
2021-03,WH_MUM_01,405,343,20.31851851851852,400,199,201,7988,41,55,26,467,99,84.69,10.25,21.2
2021-03,WH_NAG_01,354,300,19.833333333333332,409,201,208,7551,46,51,11,467,99,84.75,11.25,21.2
2021-03,WH_PUN_01,317,257,20.08832807570978,405,201,204,8134,28,38,25,467,99,81.07,6.91,21.2
2021-04,WH_BLR_01,362,302,19.403314917127073,402,186,216,8016,49,60,-3,476,104,83.43,12.19,21.85
2021-04,WH_CHN_01,334,282,20.637724550898202,413,200,213,8321,39,48,4,476,104,84.43,9.44,21.85
2021-04,WH_DEL_01,369,300,20.615176151761517,409,193,216,7890,48,59,-38,476,104,81.3,11.74,21.85
2021-04,WH_MUM_01,342,285,19.330409356725145,397,193,204,7983,44,60,-23,476,104,83.33,11.08,21.85
2021-04,WH_NAG_01,315,272,20.593650793650795,439,217,222,8823,45,59,-7,476,104,86.35,10.25,21.85
2021-04,WH_PUN_01,375,328,19.626666666666665,410,192,218,7934,41,51,-2,476,104,87.47,10.0,21.85
2021-05,WH_BLR_01,374,308,20.628342245989305,439,221,218,8693,39,54,-15,439,96,82.35,8.88,21.87
2021-05,WH_CHN_01,365,317,19.734246575342464,394,201,193,7754,39,54,-8,439,96,86.85,9.9,21.87
2021-05,WH_DEL_01,319,275,20.184952978056426,422,199,223,8791,45,59,-49,439,96,86.21,10.66,21.87
2021-05,WH_MUM_01,354,297,19.73446327683616,419,196,223,7862,32,47,12,439,96,83.9,7.64,21.87
2021-05,WH_NAG_01,346,298,19.404624277456648,425,207,218,8235,44,49,-37,439,96,86.13,10.35,21.87
2021-05,WH_PUN_01,347,299,20.365994236311238,396,194,202,7874,46,53,-40,439,96,86.17,11.62,21.87
2021-06,WH_BLR_01,366,309,19.385245901639344,419,205,214,7993,44,57,3,422,90,84.43,10.5,21.33
2021-06,WH_CHN_01,343,288,20.574344023323615,425,200,225,8577,46,59,8,422,90,83.97,10.82,21.33
2021-06,WH_DEL_01,352,298,19.806818181818183,425,192,233,8506,64,78,-21,422,90,84.66,15.06,21.33
2021-06,WH_MUM_01,333,275,20.34834834834835,432,200,232,8409,45,58,-66,422,90,82.58,10.42,21.33
2021-06,WH_NAG_01,317,269,18.95583596214511,432,232,200,8369,43,52,15,422,90,84.86,9.95,21.33
2021-06,WH_PUN_01,318,269,20.729559748427672,373,176,197,7154,33,44,-21,422,90,84.59,8.85,21.33
2021-07,WH_BLR_01,370,312,20.035135135135135,416,216,200,8277,43,57,-69,375,89,84.32,10.34,23.73
2021-07,WH_CHN_01,339,282,19.831858407079647,426,206,220,8434,40,57,4,375,89,83.19,9.39,23.73
2021-07,WH_DEL_01,352,313,19.664772727272727,446,214,232,8384,52,73,18,375,89,88.92,11.66,23.73
2021-07,WH_MUM_01,351,295,20.293447293447294,418,207,211,8254,36,45,-7,375,89,84.05,8.61,23.73
2021-07,WH_NAG_01,372,320,19.446236559139784,425,209,216,8429,39,50,0,375,89,86.02,9.18,23.73
2021-07,WH_PUN_01,360,307,19.40277777777778,482,219,263,9386,53,65,-37,375,89,85.28,11.0,23.73
2021-08,WH_BLR_01,325,265,20.895384615384614,408,201,207,8178,41,58,-70,449,89,81.54,10.05,19.82
2021-08,WH_CHN_01,325,278,19.92,444,208,236,8927,51,63,-54,449,89,85.54,11.49,19.82
2021-08,WH_DEL_01,351,296,19.974358974358974,423,205,218,8559,57,66,2,449,89,84.33,13.48,19.82
2021-08,WH_MUM_01,355,289,19.994366197183098,430,200,230,8367,39,51,-35,449,89,81.41,9.07,19.82
2021-08,WH_NAG_01,366,321,20.21311475409836,447,212,235,8884,44,55,10,449,89,87.7,9.84,19.82
2021-08,WH_PUN_01,355,296,20.27323943661972,440,207,233,9126,64,78,-85,449,89,83.38,14.55,19.82
2021-09,WH_BLR_01,365,312,20.202739726027396,390,201,189,7643,49,59,46,450,91,85.48,12.56,20.22
2021-09,WH_CHN_01,348,299,21.39367816091954,404,200,204,7997,36,49,-70,450,91,85.92,8.91,20.22
2021-09,WH_DEL_01,329,286,19.428571428571427,423,205,218,8438,45,55,-54,450,91,86.93,10.64,20.22
2021-09,WH_MUM_01,328,271,19.759146341463413,437,208,229,8534,39,45,9,450,91,82.62,8.92,20.22
2021-09,WH_NAG_01,357,311,19.70028011204482,414,211,203,8283,36,47,-88,450,91,87.11,8.7,20.22
2021-09,WH_PUN_01,318,273,20.50314465408805,386,181,205,7466,37,45,-16,450,91,85.85,9.59,20.22
2021-10,WH_BLR_01,318,270,19.757861635220127,445,198,247,8318,47,63,-54,417,92,84.91,10.56,22.06
2021-10,WH_CHN_01,367,316,20.087193460490465,439,190,249,8603,44,52,-75,417,92,86.1,10.02,22.06
2021-10,WH_DEL_01,370,314,20.124324324324323,420,193,227,8069,43,53,-41,417,92,84.86,10.24,22.06
2021-10,WH_MUM_01,327,276,21.027522935779817,449,212,237,9042,46,53,-34,417,92,84.4,10.24,22.06
2021-10,WH_NAG_01,363,316,20.77961432506887,449,228,221,8955,47,65,19,417,92,87.05,10.47,22.06
2021-10,WH_PUN_01,387,334,19.813953488372093,417,209,208,8208,38,50,-1,417,92,86.3,9.11,22.06
2021-11,WH_BLR_01,372,316,20.274193548387096,425,216,209,8274,49,61,18,440,102,84.95,11.53,23.18
2021-11,WH_CHN_01,337,287,21.083086053412462,444,219,225,8976,52,67,-22,440,102,85.16,11.71,23.18
2021-11,WH_DEL_01,334,282,20.736526946107784,392,189,203,7574,43,52,-28,440,102,84.43,10.97,23.18
2021-11,WH_MUM_01,357,311,19.862745098039216,411,201,210,8078,37,45,-34,440,102,87.11,9.0,23.18
2021-11,WH_NAG_01,328,276,19.48780487804878,391,184,207,7555,43,55,52,440,102,84.15,11.0,23.18
2021-11,WH_PUN_01,328,271,20.158536585365855,428,212,216,8210,31,44,-20,440,102,82.62,7.24,23.18
2021-12,WH_BLR_01,342,293,19.77485380116959,454,233,221,9008,38,52,-3,441,87,85.67,8.37,19.73
2021-12,WH_CHN_01,354,300,20.519774011299436,388,179,209,7965,45,51,-24,441,87,84.75,11.6,19.73
2021-12,WH_DEL_01,380,317,19.192105263157895,420,218,202,8437,49,69,-35,441,87,83.42,11.67,19.73
2021-12,WH_MUM_01,391,337,19.797953964194374,449,212,237,9127,45,58,25,441,87,86.19,10.02,19.73
2021-12,WH_NAG_01,364,317,20.557692307692307,423,207,216,7903,43,51,-30,441,87,87.09,10.17,19.73
2021-12,WH_PUN_01,334,299,19.634730538922156,415,210,205,8186,38,43,-28,441,87,89.52,9.16,19.73
2022-01,WH_BLR_01,347,288,20.155619596541786,485,236,249,9729,58,68,-68,411,95,83.0,11.96,23.11
2022-01,WH_CHN_01,366,302,19.639344262295083,455,220,235,8798,46,66,-71,411,95,82.51,10.11,23.11
2022-01,WH_DEL_01,340,300,20.81764705882353,445,210,235,8862,45,58,3,411,95,88.24,10.11,23.11
2022-01,WH_MUM_01,359,306,20.161559888579387,437,213,224,8620,52,61,-31,411,95,85.24,11.9,23.11
2022-01,WH_NAG_01,381,332,19.68503937007874,419,201,218,8156,46,54,-57,411,95,87.14,10.98,23.11
2022-01,WH_PUN_01,344,289,20.433139534883722,417,188,229,8392,36,48,-5,411,95,84.01,8.63,23.11
2022-02,WH_BLR_01,332,286,19.602409638554217,417,217,200,7876,41,49,22,402,90,86.14,9.83,22.39
2022-02,WH_CHN_01,301,265,21.159468438538205,407,199,208,8190,42,55,-110,402,90,88.04,10.32,22.39
2022-02,WH_DEL_01,328,279,21.149390243902438,391,187,204,7368,40,49,8,402,90,85.06,10.23,22.39
2022-02,WH_MUM_01,328,273,21.3140243902439,390,187,203,7865,43,53,1,402,90,83.23,11.03,22.39
2022-02,WH_NAG_01,335,272,19.2,375,180,195,7290,44,57,-79,402,90,81.19,11.73,22.39
2022-02,WH_PUN_01,324,269,20.700617283950617,413,204,209,7939,40,56,16,402,90,83.02,9.69,22.39
2022-03,WH_BLR_01,321,267,18.850467289719628,427,212,215,8603,39,50,-42,432,93,83.18,9.13,21.53
2022-03,WH_CHN_01,344,305,20.61918604651163,462,231,231,9050,45,61,-25,432,93,88.66,9.74,21.53
2022-03,WH_DEL_01,336,263,19.955357142857142,387,190,197,7683,38,47,-12,432,93,78.27,9.82,21.53
2022-03,WH_MUM_01,368,315,19.47554347826087,457,225,232,8920,45,63,31,432,93,85.6,9.85,21.53
2022-03,WH_NAG_01,359,305,20.153203342618383,430,228,202,8449,41,57,-25,432,93,84.96,9.53,21.53
2022-03,WH_PUN_01,354,280,20.23728813559322,454,203,251,8830,55,71,-66,432,93,79.1,12.11,21.53
2022-04,WH_BLR_01,331,275,19.6012084592145,398,177,221,7554,31,40,31,414,91,83.08,7.79,21.98
2022-04,WH_CHN_01,347,305,20.363112391930837,390,196,194,7375,48,56,11,414,91,87.9,12.31,21.98
2022-04,WH_DEL_01,337,292,19.706231454005934,416,203,213,8025,43,51,-42,414,91,86.65,10.34,21.98
2022-04,WH_MUM_01,351,307,20.63817663817664,418,220,198,8201,47,53,-133,414,91,87.46,11.24,21.98
2022-04,WH_NAG_01,341,286,20.041055718475075,384,194,190,7264,36,46,-82,414,91,83.87,9.38,21.98
2022-04,WH_PUN_01,324,264,20.46604938271605,366,181,185,7270,38,48,16,414,91,81.48,10.38,21.98
2022-05,WH_BLR_01,374,320,19.267379679144383,446,207,239,8652,43,58,-40,426,85,85.56,9.64,19.95
2022-05,WH_CHN_01,342,287,20.529239766081872,452,227,225,9147,47,57,-60,426,85,83.92,10.4,19.95
2022-05,WH_DEL_01,360,310,20.82777777777778,438,199,239,8413,40,53,-18,426,85,86.11,9.13,19.95
2022-05,WH_MUM_01,353,305,20.10481586402266,411,189,222,7934,38,54,14,426,85,86.4,9.25,19.95
2022-05,WH_NAG_01,358,319,19.88826815642458,441,220,221,8424,47,61,-1,426,85,89.11,10.66,19.95
2022-05,WH_PUN_01,351,310,20.062678062678064,401,181,220,7886,34,47,12,426,85,88.32,8.48,19.95
2022-06,WH_BLR_01,354,298,19.7909604519774,393,182,211,7693,44,57,2,456,93,84.18,11.2,20.39
2022-06,WH_CHN_01,354,312,19.661016949152543,389,199,190,7793,33,40,50,456,93,88.14,8.48,20.39
2022-06,WH_DEL_01,373,314,20.024128686327078,416,206,210,8274,47,61,-39,456,93,84.18,11.3,20.39
2022-06,WH_MUM_01,346,304,20.190751445086704,401,188,213,7863,42,51,14,456,93,87.86,10.47,20.39
2022-06,WH_NAG_01,333,271,19.52852852852853,439,215,224,8685,49,59,63,456,93,81.38,11.16,20.39
2022-06,WH_PUN_01,328,287,19.576219512195124,390,180,210,8119,36,49,-45,456,93,87.5,9.23,20.39
2022-07,WH_BLR_01,349,299,20.29512893982808,432,213,219,8470,44,53,53,431,101,85.67,10.19,23.43
2022-07,WH_CHN_01,347,284,19.697406340057636,433,204,229,8882,42,53,-6,431,101,81.84,9.7,23.43
2022-07,WH_DEL_01,348,306,19.655172413793103,412,178,234,7764,36,48,-87,431,101,87.93,8.74,23.43
2022-07,WH_MUM_01,347,307,20.340057636887607,457,194,263,9057,47,55,-9,431,101,88.47,10.28,23.43
2022-07,WH_NAG_01,349,282,20.12320916905444,433,206,227,8518,40,49,-79,431,101,80.8,9.24,23.43
2022-07,WH_PUN_01,343,303,19.932944606413994,436,226,210,8865,48,62,-10,431,101,88.34,11.01,23.43
2022-08,WH_BLR_01,346,292,20.99421965317919,439,222,217,8671,46,58,-8,460,94,84.39,10.48,20.43
2022-08,WH_CHN_01,332,287,19.596385542168676,412,185,227,8381,40,51,-21,460,94,86.45,9.71,20.43
2022-08,WH_DEL_01,378,323,19.06084656084656,405,196,209,8123,36,55,-59,460,94,85.45,8.89,20.43
2022-08,WH_MUM_01,383,326,20.634464751958223,445,215,230,8743,45,57,-10,460,94,85.12,10.11,20.43
2022-08,WH_NAG_01,360,303,20.252777777777776,432,193,239,7891,43,50,36,460,94,84.17,9.95,20.43
2022-08,WH_PUN_01,351,293,20.455840455840455,441,225,216,9117,53,64,49,460,94,83.48,12.02,20.43
2022-09,WH_BLR_01,365,303,20.473972602739725,418,195,223,7720,43,56,-30,442,102,83.01,10.29,23.08
2022-09,WH_CHN_01,362,308,20.632596685082873,402,185,217,7627,46,61,-75,442,102,85.08,11.44,23.08
2022-09,WH_DEL_01,299,250,20.712374581939798,414,202,212,8253,36,52,48,442,102,83.61,8.7,23.08
2022-09,WH_MUM_01,338,292,21.068047337278106,405,190,215,7888,43,51,-30,442,102,86.39,10.62,23.08
2022-09,WH_NAG_01,349,292,20.45272206303725,418,194,224,8139,48,61,-61,442,102,83.67,11.48,23.08
2022-09,WH_PUN_01,307,271,20.615635179153095,385,164,221,7977,47,60,-59,442,102,88.27,12.21,23.08
2022-10,WH_BLR_01,378,310,19.32010582010582,450,201,249,8793,40,54,-12,449,114,82.01,8.89,25.39
2022-10,WH_CHN_01,384,328,20.9921875,443,214,229,8994,39,48,-60,449,114,85.42,8.8,25.39
2022-10,WH_DEL_01,320,281,20.165625,414,202,212,8350,35,50,-88,449,114,87.81,8.45,25.39
2022-10,WH_MUM_01,381,316,19.84776902887139,407,195,212,7949,38,50,35,449,114,82.94,9.34,25.39
2022-10,WH_NAG_01,342,292,19.695906432748536,412,200,212,7895,42,50,-6,449,114,85.38,10.19,25.39
2022-10,WH_PUN_01,303,261,21.31023102310231,450,224,226,9238,41,54,-28,449,114,86.14,9.11,25.39
2022-11,WH_BLR_01,367,317,20.757493188010898,467,214,253,9084,51,63,45,433,93,86.38,10.92,21.48
2022-11,WH_CHN_01,363,299,19.84297520661157,394,180,214,7689,55,69,54,433,93,82.37,13.96,21.48
