Profiling_ID,Item_ID,Item_Category,Priority_Level,Warehouse_Code,Storage_Zone,Movement_Velocity,Last_Profiled_Date
PROF4000000,ITEM100000,Packaging,Low,WH_BLR_01,Zone A,Slow Moving,2024-01-25
PROF4000001,ITEM100001,Packaging,Medium,WH_MUM_01,Zone B,Slow Moving,2024-05-02
PROF4000002,ITEM100002,Finished Goods,High,WH_PUN_01,Overflow,Slow Moving,2023-03-01
PROF4000003,ITEM100003,Raw Material,High,WH_CHN_01,Zone C,Slow Moving,2023-03-16
PROF4000004,ITEM100004,Consumables,Medium,WH_DEL_01,Overflow,Slow Moving,2024-02-06
PROF4000005,ITEM100005,Raw Material,High,WH_DEL_01,Overflow,Slow Moving,2023-05-10
PROF4000006,ITEM100006,Finished Goods,Low,WH_CHN_01,Zone C,Slow Moving,2023-06-16
PROF4000007,ITEM100007,Finished Goods,Medium,WH_CHN_01,Zone C,Slow Moving,2024-06-01
PROF4000008,ITEM100008,Raw Material,High,WH_CHN_01,Zone C,Slow Moving,2024-10-08
PROF4000009,ITEM100009,Packaging,Low,WH_NAG_01,Zone A,Slow Moving,2023-08-03
PROF4000010,ITEM100010,Raw Material,Low,WH_NAG_01,Zone C,Slow Moving,2024-01-26
PROF4000011,ITEM100011,Finished Goods,Low,WH_NAG_01,Zone A,Slow Moving,2024-11-17
PROF4000012,ITEM100012,Spare Parts,Medium,WH_NAG_01,Zone B,Slow Moving,2024-08-05
PROF4000013,ITEM100013,Finished Goods,Medium,WH_BLR_01,Zone C,Slow Moving,2024-09-04
PROF4000014,ITEM100014,Consumables,Medium,WH_BLR_01,Overflow,Slow Moving,2024-06-04
PROF4000015,ITEM100015,Raw Material,Medium,WH_CHN_01,Zone A,Slow Moving,2024-11-18
PROF4000016,ITEM100016,Finished Goods,Low,WH_MUM_01,Zone B,Slow Moving,2024-09-06
PROF4000017,ITEM100017,Finished Goods,Low,WH_BLR_01,Zone A,Slow Moving,2024-07-14
PROF4000018,ITEM100018,Finished Goods,Medium,WH_NAG_01,Zone A,Slow Moving,2024-05-11
PROF4000019,ITEM100019,Raw Material,Low,WH_NAG_01,Zone A,Slow Moving,2023-05-16
PROF4000020,ITEM100020,Finished Goods,High,WH_MUM_01,Zone A,Slow Moving,2023-07-10
PROF4000021,ITEM100021,Packaging,Medium,WH_PUN_01,Zone A,Slow Moving,2023-03-29
PROF4000022,ITEM100022,Spare Parts,High,WH_CHN_01,Overflow,Slow Moving,2024-01-08
PROF4000023,ITEM100023,Raw Material,Low,WH_NAG_01,Zone B,Slow Moving,2024-04-24
PROF4000024,ITEM100024,Finished Goods,High,WH_MUM_01,Zone A,Slow Moving,2024-03-19
PROF4000025,ITEM100025,Finished Goods,Medium,WH_CHN_01,Overflow,Slow Moving,2024-01-21
PROF4000026,ITEM100026,Packaging,Medium,WH_NAG_01,Zone C,Slow Moving,2024-09-27
PROF4000027,ITEM100027,Finished Goods,Medium,WH_NAG_01,Zone B,Slow Moving,2023-11-18
PROF4000028,ITEM100028,Raw Material,High,WH_NAG_01,Zone A,Slow Moving,2023-09-27
PROF4000029,ITEM100029,Raw Material,Medium,WH_PUN_01,Zone B,Slow Moving,2023-06-28
PROF4000030,ITEM100030,Raw Material,Medium,WH_PUN_01,Zone C,Slow Moving,2023-12-09
PROF4000031,ITEM100031,Raw Material,High,WH_NAG_01,Zone C,Slow Moving,2024-09-24
PROF4000032,ITEM100032,Packaging,Medium,WH_DEL_01,Zone C,Slow Moving,2024-03-05
PROF4000033,ITEM100033,Spare Parts,High,WH_NAG_01,Zone A,Slow Moving,2023-05-11
PROF4000034,ITEM100034,Finished Goods,Medium,WH_MUM_01,Zone B,Slow Moving,2024-02-25
PROF4000035,ITEM100035,Spare Parts,High,WH_NAG_01,Zone B,Slow Moving,2023-04-15
PROF4000036,ITEM100036,Finished Goods,Low,WH_CHN_01,Zone B,Slow Moving,2024-05-04
PROF4000037,ITEM100037,Raw Material,Medium,WH_CHN_01,Zone A,Slow Moving,2024-06-23
PROF4000038,ITEM100038,Consumables,Medium,WH_CHN_01,Overflow,Slow Moving,2024-07-10
PROF4000039,ITEM100039,Finished Goods,Medium,WH_MUM_01,Zone C,Slow Moving,2024-01-30
PROF4000040,ITEM100040,Finished Goods,Medium,WH_CHN_01,Zone A,Slow Moving,2024-02-18
PROF4000041,ITEM100041,Raw Material,Medium,WH_CHN_01,Zone B,Slow Moving,2023-03-13
PROF4000042,ITEM100042,Consumables,Medium,WH_DEL_01,Zone A,Slow Moving,2024-03-11
PROF4000043,ITEM100043,Raw Material,Medium,WH_PUN_01,Zone C,Slow Moving,2023-05-14
PROF4000044,ITEM100044,Finished Goods,Medium,WH_CHN_01,Zone C,Slow Moving,2023-12-05
PROF4000045,ITEM100045,Finished Goods,Medium,WH_CHN_01,Zone C,Slow Moving,2023-08-11
PROF4000046,ITEM100046,Raw Material,Medium,WH_MUM_01,Zone A,Slow Moving,2023-01-20
PROF4000047,ITEM100047,Raw Material,Low,WH_NAG_01,Zone C,Slow Moving,2023-01-18
PROF4000048,ITEM100048,Finished Goods,Low,WH_CHN_01,Zone A,Slow Moving,2024-02-20
PROF4000049,ITEM100049,Spare Parts,Medium,WH_BLR_01,Zone B,Slow Moving,2023-01-10
PROF4000050,ITEM100050,Finished Goods,Medium,WH_BLR_01,Overflow,Slow Moving,2024-07-30
PROF4000051,ITEM100051,Finished Goods,Medium,WH_BLR_01,Zone A,Slow Moving,2024-03-24
PROF4000052,ITEM100052,Finished Goods,Medium,WH_BLR_01,Zone B,Slow Moving,2024-01-30
PROF4000053,ITEM100053,Consumables,Medium,WH_BLR_01,Zone C,Slow Moving,2024-06-27
PROF4000054,ITEM100054,Spare Parts,Medium,WH_NAG_01,Zone C,Slow Moving,2023-06-27
PROF4000055,ITEM100055,Finished Goods,Low,WH_DEL_01,Zone C,Slow Moving,2023-08-31
PROF4000056,ITEM100056,Finished Goods,High,WH_DEL_01,Overflow,Slow Moving,2023-02-06
PROF4000057,ITEM100057,Finished Goods,Medium,WH_MUM_01,Zone B,Slow Moving,2024-07-25
PROF4000058,ITEM100058,Raw Material,Medium,WH_CHN_01,Zone A,Slow Moving,2024-06-07
PROF4000059,ITEM100059,Raw Material,High,WH_CHN_01,Zone C,Slow Moving,2024-07-14
PROF4000060,ITEM100060,Finished Goods,Medium,WH_BLR_01,Zone A,Slow Moving,2023-10-11
PROF4000061,ITEM100061,Consumables,Medium,WH_MUM_01,Zone C,Slow Moving,2023-11-28
PROF4000062,ITEM100062,Raw Material,High,WH_BLR_01,Zone C,Slow Moving,2024-07-27
PROF4000063,ITEM100063,Raw Material,Low,WH_DEL_01,Zone B,Slow Moving,2024-05-02
PROF4000064,ITEM100064,Raw Material,High,WH_MUM_01,Overflow,Slow Moving,2024-06-10
PROF4000065,ITEM100065,Finished Goods,High,WH_DEL_01,Overflow,Slow Moving,2024-10-29
PROF4000066,ITEM100066,Raw Material,Medium,WH_BLR_01,Zone B,Slow Moving,2024-09-21
PROF4000067,ITEM100067,Packaging,Low,WH_MUM_01,Zone A,Slow Moving,2024-03-16
PROF4000068,ITEM100068,Finished Goods,Medium,WH_PUN_01,Zone B,Slow Moving,2023-02-07
PROF4000069,ITEM100069,Finished Goods,Low,WH_PUN_01,Zone B,Slow Moving,2024-01-26
PROF4000070,ITEM100070,Finished Goods,Medium,WH_DEL_01,Overflow,Slow Moving,2024-05-18
PROF4000071,ITEM100071,Finished Goods,Low,WH_DEL_01,Zone B,Slow Moving,2023-04-06
PROF4000072,ITEM100072,Packaging,High,WH_MUM_01,Zone A,Slow Moving,2024-11-07
PROF4000073,ITEM100073,Finished Goods,High,WH_PUN_01,Overflow,Slow Moving,2024-03-22
PROF4000074,ITEM100074,Raw Material,Medium,WH_DEL_01,Zone B,Slow Moving,2024-01-11
